,Genome ID,Genome Name,gram,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Source,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified
1,1006543.3,Staphylococcus aureus subsp. aureus T0131,positive,Staphylococcus aureus subsp. aureus T0131,1006543,Complete,T0131,,,,MLST.Staphylococcus_aureus.239,,,,2011-04-19T00:00:00Z,21551295,PRJNA65323,SAMN02603905,GCA_000204665.1,,CP002643,NC_017347.1,"TEDA School of Biological Sciences and Biotechnology, Nankai University|Tianjin Biochip Corporation",complete,,,,1,,1,2913900,32.8,2741,2711,None,87-year-old patient,"isolated in 2006, was recovered from an 87-year-old patient in No",2006,China,"No.3 Central Hospital in Tianjin, China",,,,,,"Human, Homo sapiens",,87,,,,,,,,,,,,-,,,,,"S. aureus strain T0131, isolated in 2006, was recovered from an 87-year-old patient in No.3 Central Hospital in Tianjin, China.",,100,99.9,100,,,Good,2014-12-08T22:13:25.097Z,2015-03-16T03:17:09.594Z
2,1009464.3,Gardnerella vaginalis HMP9231,negative,Gardnerella vaginalis HMP9231,1009464,Complete,HMP9231,,,,,,CCUG 59494,,2011-05-18T00:00:00Z,,PRJNA51067,SAMN00100736,GCA_000213955.1,SRR063794,CP002725,NC_017456.1,J. Craig Venter Institute,complete,454-GS-FLX-Titanium,39x,CA v6.1,1,,1,1726519,41.23,1376,1317,Vagina,,,,,,,,,,,"Human, Homo sapiens",,,,Urogenital tract; Endometrium,,,,,,,,,,-,,,,,A reference genome for the Human Microbiome Project. ,,98.6,98.3,99.7,0.3,,Good,2014-12-08T22:11:40.310Z,2015-03-16T03:17:09.594Z
3,1010840.4,Streptococcus pyogenes MGAS1882,positive,Streptococcus pyogenes MGAS1882,1010840,Complete,MGAS1882,,,,MLST.Streptococcus_pyogenes.172,,NR-33708,,2012-03-01T00:00:00Z,,PRJNA66081,SAMN02603945,GCA_000250925.1,,CP003121.1,NC_017053.1,The Methodist Hospital Research Institute,complete,454; Illumina,,,1,,1,1781029,38,1727,,None,,,early 1960,USA,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,Host,,-,,99.7,99.5,100,,,Good,2014-12-08T22:13:35.868Z,2015-03-16T03:17:09.594Z
10,1031746.3,Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260,negative,,1031746,Complete,LMG 9260,,,,MLST.Campylobacter_hyointestinalis.5,,LMG:9260,,2016-05-16T00:00:00Z,,PRJNA66795,SAMN03737973,GCF_001643955.1,,CP015575,NZ_CP015575.1,"USDA, ARS, WRRC",,454; Illumina,1165x,Newbler v. 2.6,1,,1,1753385,33.96,1830,1678,Stool,feces,,1986,Belgium,Belgium: Brussels,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,LMG culture collection,sample_type:cell culture,98.7,98.2,100,,,Good,2016-07-05T00:18:45.867Z,2016-07-05T00:18:45.867Z
11,1032071.3,Arcobacter cryaerophilus D2610,negative,,1032071,Complete,D2610,,,,MLST.Arcobacter_spp.210,,,,2018-10-16T00:00:00Z,,PRJNA66819,SAMN03737949,GCA_003660085.1,,CP032825,,"USDA, ARS, WRRC",,Illumina HiSeq; 454,964x,Newbler v. 2.6,1,,1,2055914,27.506939,2028,1994,Blood,blood,,,USA,USA,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"USDA, ARS, WRRC",sample_type:cell culture,98.7,98.2,,,,Good,2019-07-17T02:17:27.434Z,2019-07-17T02:17:27.434Z
17,1038927.45,Escherichia coli O104:H4 strain FWSEC0009,negative,,1038927,Complete,FWSEC0009,O104:H4,,,"MLST.Escherichia_coli_1.678,MLST.Escherichia_coli_2.290",,,,2019-05-01T00:00:00Z,,PRJNA287560,SAMN08768110,GCA_005014075.1,,"CP031902,CP031903,CP031904,CP031905",,National Microbiology Laboratory,,Illumina MiSeq;Oxford Nanopore MinION,65.55x;110.27x,Unicycler;Canu v. 0.4.4.0;1.7,1,3,4,5442997,50.65053,5768,5654,None,Clinical: Human (Homo sapiens),"is from Environmental, animal husbandry, food samples, and medical isolates",2011,Germany,Germany,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,Mesophilic,37 C,,Facultative,Multiple,,"The food and water safety pilot project is a comprehensive strategy that integrates multidisciplinary components from diverse federal science sources to address two main goals. The first is to enhance food and water safety by developing genomics-based methods for pathogen isolation, detection and characterisation. The second goal is to develop a federally integrated system to manage, store and provide open access to genomic data related to food and water borne pathogens. The model organisms for this study are Shiga-toxin Producing Escherchia coli (STEC) and Salmonella Enteritidis from Environmental, animal husbandry, food samples, and medical isolates.",collected_by:Laboratory for Foodborne Zoonoses: Public Health Agency of Canada,99.9,98.9,,,,Good,2019-07-14T19:20:31.213Z,2019-07-14T19:20:31.213Z
18,1041522.28,Mycobacterium colombiense CECT 3035 strain CECT 3035,positive,,1041522,Complete,CECT 3035,,,,,,,,2017-04-24T00:00:00Z,27818776,PRJNA383253,SAMN06760893,,,CP020821,,National University of Colombia,,PacBio,340.0x,HGAP v. Oct 2014,1,,1,5581643,68.09,5451,,Blood,blood,"isolated in other scenarios such as lymphadenopathy, subcutaneous infections and disseminated disease in HIV-negative patients in countries like Spain, France, China, Canada and Russia",2006,Colombia,Colombia,,,,,,"Human, Homo sapiens",,,HIV,,,,,,,,,,,,,,,,"M. colombiense infections were initially described in HIV patients in Bogot�, Colombia. In this initial study, M. colombiense was confirmed to be the causative agent of pulmonary disease and bacteraemia in this group of people who died of HIV/M. colombiense coinfection. After this study, M. colombiense has been isolated in other scenarios such as lymphadenopathy, subcutaneous infections and disseminated disease in HIV-negative patients in countries like Spain, France, China, Canada and Russia.",collected_by:Martha I Murcia,99,97.3,100,1.7,,Good,2017-05-29T02:38:50.921Z,2017-05-29T02:38:50.921Z
21,1045010.21,Escherichia coli O157 strain FDAARGOS_293,negative,,1045010,Complete,FDAARGOS_293,,,,"MLST.Escherichia_coli_1.11,MLST.Escherichia_coli_2.628",,FDA:FDAARGOS_293,,2017-06-27T00:00:00Z,,PRJNA231221,SAMN06173306,,,"CP022050,CP022051,CP022052",,US Food and Drug Administration,,PacBio,17.6648961609863x,"SMRT v. 2.3.0, HGAP v. 3.0",1,2,3,5686502,50.48,6234,5979,None,,,26-Feb-14,USA,USA:DC,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally: •Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. •Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and Pac Biosequencing platforms at the Institute for Genome Sciences disclaimer icon at the University of Maryland (UMD-IGS). •Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases. The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",collected_by:George Washington University,99.8,98.9,100,0.7,,Good,2017-07-23T01:14:06.936Z,2017-07-23T01:14:06.936Z
22,1048254.4,Escherichia coli O104:H4 str. C227-11,negative,,1048254,Complete,C227-11,,,,"MLST.Escherichia_coli_1.678,MLST.Escherichia_coli_2.290",,DSM -3043,,2015-07-13T00:00:00Z,,PRJNA281410,SAMN03856947,GCF_000986765.1,,"CP011331,CP011332,CP011333,CP011334,CP011335,CP011336,CP011337,CP011338","NZ_CP011331.1,NZ_CP011336.1,NZ_CP011337.1,NZ_CP011335.1,NZ_CP011338.1,NZ_CP011334.1,NZ_CP011332.1,NZ_CP011333.1",Icahn School of Medicine at Mount Sinai,,PacBio,100.0x,HGAP v. 2.0,1,7,8,5446006,50.63,5664,5275,Stool,stool sample from a 64-year-old woman from Hamburg who presented with bloody diarrhea and did not develop hemolytic uremic syndrome (HUS),,18-May-11,Denmark,Denmark,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"To obtain high quality reference assemblies of multiple bacterial genomes and conduct genome-wide analysis of DNA methylation, we sequenced three cultured isolates using a Pacific Biosciences RSII instrument. These long read sequenced isolates include Escherichia coli O104:H4 str. C227-11, Helicobacter pylori J99, and Chromohalobacter salexigens DSM-3043.""",isolate:368 shch,100,99,100,,,Good,2016-01-17T15:56:39.571Z,2016-01-17T15:56:39.571Z
23,1048264.3,Streptococcus pyogenes HKU QMH11M0907901,positive,,1048264,Complete,HKU QMH11M0907901,,,,MLST.Streptococcus_pyogenes.36,,,,2012-05-18T00:00:00Z,,PRJNA68183,SAMN02471172,GCF_000275625.1,,AFRY01000000,,"Department of Microbiology, The University of Hong Kong",,454 GS FLX titanium,48x,Newbler v. 2.5.3,1,,1,1908100,38.45,1909,1865,Blood,blood from scarlet fever outbreak,,2011,China,China: Hong Kong,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Clinical use of next generation sequencing for rapid identification of useful genomic signatures in the complete genome of an epidemic strain of emm12 Streptococcus pyogenes causing scarlet fever and bacteremia in Hong Kong. Bacteremic strain from a patient with scarlet fever in Hong Kong. Gram positive cocci in chains, beta-hemolytic on horse blood agar, bacitracin susceptible, Lancefield Group A antigen positive. The Vitek ID bionumber profile was 51043230001 which had a confidence level of 99% in its identification as Streptococcus pyogenes. Resistant to erythromycin, clindamycin and tetracycline but susceptible to penicillin G, ciprofloxacin, levofloxacin, rifampicin and vancomycin. Emm typing: emm12. MLST: ST36.",,99.9,99.9,100,0.9,,Good,2016-01-17T15:29:01.552Z,2016-01-17T15:29:01.552Z
24,1055527.3,Helicobacter pylori ELS37,negative,Helicobacter pylori ELS37,1055527,Complete,ELS37,,,,MLST.Helicobacter_pylori.3048,, ,,2012-03-23T00:00:00Z,,PRJNA69915,SAMN02604318,GCA_000255955.1,,"CP002953.1,CP002954.1","NC_017063.1,NC_017064.1",Washington University Med. School,complete,,,,1,1,2,1669876,38.8905,1663,1576,Stomach,gastric cancer patient from El Salvador rural area,isolate from gastric cancer patient from El Salvador rural area,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Clinical Helicobacter pylori isolate from gastric cancer patient from El Salvador rural area.,,100,99.3,100,,,Good,2014-12-08T22:11:43.598Z,2015-03-16T03:17:09.594Z
25,1055531.3,Helicobacter pylori Aklavik117,negative,Helicobacter pylori Aklavik117,1055531,Complete,Aklavik117,,,,MLST.Helicobacter_pylori.2935,, ,,2012-11-26T00:00:00Z,,PRJNA69923,SAMN02604323,GCA_000315955.1,,"CP003483.1,CP003485.1,CP003484.1","NC_019560.1,NC_019562.1,NC_019561.1",Washington University Medical School,complete,,,1,1,2,3,1636125,38.73,1617,1538,None,Amerindian; Clinical isolate,"Clinical isolate from Amerindian resident in Aklavik, Canada",,Canada,"Canada: Aklavik village, Northwest Territories",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Clinical isolate from Amerindian resident in Aklavik, Canada",,99.6,99.3,99.7,,,Good,2014-12-08T22:11:43.415Z,2015-03-16T03:17:09.594Z
26,1055532.3,Helicobacter pylori Aklavik86,negative,Helicobacter pylori Aklavik86,1055532,Complete,Aklavik86,,,,MLST.Helicobacter_pylori.2945,, ,,2012-11-26T00:00:00Z,,PRJNA69925,SAMN02604324,GCA_000317875.1,,"CP003476.1,CP003477.1,CP003478.1","NC_019563.1,NC_019564.1,NC_019565.1",Washington University Medical School,complete,,,1,1,2,3,1507930,39.21,1491,1387,None,Amerindian; Clinical isolate,"Clinical isolate from Amerindian resident in Aklavik, Canada",,Canada,"Canada: Aklavik village, Northwest Territories",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Clinical isolate from Amerindian resident in Aklavik, Canada",,99.5,99.4,98.2,,,Good,2014-12-08T22:11:43.424Z,2015-03-16T03:17:09.594Z
36,1078021.3,Escherichia coli O113:H21 strain FWSEC0010,negative,,1078021,Complete,FWSEC0010,O113:H21,,,MLST.Escherichia_coli_1.223,,,,2019-05-01T00:00:00Z,,PRJNA287560,SAMN08768111,GCA_005014055.1,,"CP031898,CP031899,CP031900,CP031901",,National Microbiology Laboratory,,Illumina MiSeq;Oxford Nanopore MinION,94.45x;51.16x,Unicycler;Canu v. 0.4.4.0;1.7,1,3,4,5131000,50.785305,5319,5244,None,Clinical: Human (Homo sapiens),"is from Environmental, animal husbandry, food samples, and medical isolates",1991,Canada,Canada,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,Mesophilic,37 C,,Facultative,Multiple,,"The food and water safety pilot project is a comprehensive strategy that integrates multidisciplinary components from diverse federal science sources to address two main goals. The first is to enhance food and water safety by developing genomics-based methods for pathogen isolation, detection and characterisation. The second goal is to develop a federally integrated system to manage, store and provide open access to genomic data related to food and water borne pathogens. The model organisms for this study are Shiga-toxin Producing Escherchia coli (STEC) and Salmonella Enteritidis from Environmental, animal husbandry, food samples, and medical isolates.",collected_by:Laboratory for Foodborne Zoonoses: Public Health Agency of Canada,100,99.4,,,,Good,2019-07-14T19:16:41.004Z,2019-07-14T19:16:41.004Z
37,1078032.3,Escherichia coli O45:H2 strain FWSEC0003,negative,,1078032,Complete,FWSEC0003,O45:H2,,,MLST.Escherichia_coli_2.135,,,,2019-05-03T00:00:00Z,,PRJNA287560,SAMN08768104,GCA_005037845.2,,NJGS01000000,,National Microbiology Laboratory,,Illumina MiSeq;Oxford Nanopore MinION,100.74x;244.02x,Unicycler;Canu v. 0.4.4.0;1.7,1,2,3,5680623,50.60373,6253,6018,None,Clinical: Human (Homo sapiens),"is from Environmental, animal husbandry, food samples, and medical isolates",2005,Canada,"Canada:Nova Scotia,Halifax",,,,,,"Human, Homo sapiens",,,,,,,,,,,,,Mesophilic,37 C,,Facultative,Multiple,,"The food and water safety pilot project is a comprehensive strategy that integrates multidisciplinary components from diverse federal science sources to address two main goals. The first is to enhance food and water safety by developing genomics-based methods for pathogen isolation, detection and characterisation. The second goal is to develop a federally integrated system to manage, store and provide open access to genomic data related to food and water borne pathogens. The model organisms for this study are Shiga-toxin Producing Escherchia coli (STEC) and Salmonella Enteritidis from Environmental, animal husbandry, food samples, and medical isolates.",collected_by:National Microbiology Laboratory: Public Health Agency of Canada,99.9,98.8,,,,Good,2019-07-14T19:23:36.427Z,2019-07-14T19:23:36.427Z
38,1086030.18,Shigella flexneri 5a str. M90T,negative,,1086030,Complete,M90T,,,,,,,,2019-04-18T00:00:00Z,,PRJNA510559,SAMN10608416,GCA_004799585.1,,"CP037923,CP037924",,Umea University,,PacBio RSII; Illumina HiSeq,155.0x,Canu v. V.1.7,1,1,2,4828909,50.665173,5428,4865,None,"Walter Reed Collection. Sansonetti, P. J., et al. (1982). ""Involvement of a plasmid in the invasive ability of Shigella flexneri."" Infect Immun 35(3): 852-860.",,9-Jul-81,USA,USA:MD,,,,,,"Human, Homo sapiens",,,dysentery,,,,,,,,,,,,,,,,Complete genome sequence and annotation of the laboratory reference strain Shigella flexneri 5a M90T and genome-wide transcription start site determination,collected_by:Samuel Formal,99.9,97.3,,,,Good,2019-07-15T17:47:49.359Z,2019-07-15T17:47:49.359Z
39,1089456.3,Pseudomonas aeruginosa NCGM2.S1,negative,Pseudomonas aeruginosa NCGM2.S1,1089456,Complete,NCGM2.S1,,,,MLST.Pseudomonas_aeruginosa.235,,,,2011-09-30T00:00:00Z,22123763,PRJNA162173,,GCA_000284555.1,,AP012280.1,NC_017549.1,,assembly,ABI3730xl; 454,29x,GS De Novo Assembler v. 2.3,1,,1,6764661,0.661,6325,6269,Urine,Homo sapiens; urinary tract,,,Japan,Japan: Miyagi Prefecture,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,Urinary tract infection,"The MDR P. aeruginosa strain NCGM2.S1 caused an outbreak of urinary tract infection at a hospital in Miyagi Prefecture, northern Japan",,99.7,99.3,100,,,Good,2014-12-08T22:12:37.664Z,2015-03-16T03:17:09.594Z
40,1091045.3,Propionibacterium acnes ATCC 11828,positive,Propionibacterium acnes ATCC 11828,1091045,Complete,ATCC 11828,,,,,,,,2011-10-20T00:00:00Z,22156398,PRJNA73675,SAMN02602997,GCA_000231215.1,,CP003084.1,NC_017550.1,BAYGEN,,SOLiD,280x,Genomics Workbench 4.7 and the Omixon Gapped SOLiD Alignment 1.2 plug-in,1,,1,2488626,60.04,2411,2259,Abscess,subcutaneous abscess,,,,,,,,,,"Human, Homo sapiens",,,,subcutaneous abscess,,,,,gram +,,,,,,,Anaerobe,Human skin,Acne,Propionibacterium acnes is considered a skin commensal,,99.3,98.8,100,,,Good,2014-12-08T22:12:34.233Z,2015-03-16T03:17:09.594Z
41,1091046.5,Mycobacteroides abscessus subsp. bolletii BD,positive,,1091046,Complete,BD,,,,,,JCM:15297,,2018-06-09T00:00:00Z,29437099,PRJDB6557,SAMD00106553,GCA_003609715.1,,AP018436,,National Institute of Infectious Diseases,,PacBio RS II; Illumina MiSeq,38x,Canu v. 1.5,1,,1,5080450,64.05787,5047,4976,None,soil and water,isolated from soil and water,,,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Mycobacterium abscessus, formerly Mycobacterium chelonae subsp. abscessus, is a rapid-growing Mycobacterium sp., commonly isolated from soil and water. Recently, there was a taxonomic proposal that Mycobacterium abscessus should be divided into three subspecies such as Mycobacterium abscessus subsp. abscessus (Mycobacterium abscessus sensu stricto), Mycobacterium abscessus subsp. massiliense and Mycobacterium abscessus subsp. bolletii because of the results of whole genome sequencing analysis. Now it was renamed as Mycobacterium abscessus complex (MABC). This organism causes a chronic lung infection and also causes wound, ear and skin infections. It was also recently reported there was a potential evidence that the majority of MABC infections were acquired through transmission via fomites and aerosols and of recently emerged dominant circulating clones that have spread globally. This organism is very resistant to many commonly used antibiotics, which makes treatment difficult.",,98.6,97.2,,,,Good,2018-11-28T19:47:22.518Z,2018-11-28T19:47:22.518Z
42,1093787.3,Pseudomonas aeruginosa DK2,negative,Pseudomonas aeruginosa DK2,1093787,Complete,DK2,,,,MLST.Pseudomonas_aeruginosa.386,,,,2012-06-20T00:00:00Z,,PRJNA73815,SAMN02603895,GCA_000271365.1,,CP003149.1,NC_018080.1,Technical University of Denmark,complete,,,,1,,1,6402658,66.3,5984,5884,Lung,cystic fibrosis patient,isolated from a cystic fibrosis patient,,,,,,,,,"Human, Homo sapiens",,,cystic fibrosis,,,,,,Negative,,,,,,,,Multiple,Commensal (plant),Complete genome of Pseudomonas aeruginosa DK2 strain isolated from a cystic fibrosis patient.,,99.9,98.9,96.7,,,Good,2014-12-08T22:12:37.204Z,2015-03-16T03:17:09.594Z
43,1093790.3,Vibrio cholerae H1,negative,,1093790,Complete,H1,,,,MLST.Vibrio_cholerae.69,,,,2012-06-29T00:00:00Z,,PRJNA73829,SAMN02470784,GCF_000275645.1,,AKGH01000000,,Pacific Biosciences,,454; Illumina GAII; PacBio,421.0x,SMRT Analysis v. 1.3.1 Beta,2,,2,4089020,47.51,3772,,Stool,passed stool,,10-Oct,Haiti,Haiti,,,,,,"Human, Homo sapiens",,,,,,,,,Negative,,,,,,,,,,Haitian Vibrio cholerae Genome Sequencing.,,99.8,99.5,100,,,Good,2016-01-17T15:29:01.873Z,2016-01-17T15:29:01.873Z
44,1095685.4,Neisseria meningitidis M7124,negative,,1095685,Complete,M7124,,,,MLST.Neisseria_spp.11,genotype:ST-11,,,2014-12-09T00:00:00Z,,PRJNA260327,SAMN03020254,GCF_000800275.1,,CP009419,NZ_CP009419.1,University of Pittsburgh,,PacBio,131x,HGAP v. 2.0,1,,1,2179483,51.73,2559,2071,None,,,Mar-00,Saudi Arabia,Saudi Arabia: Mecca,,,,,,"Human, Homo sapiens",,,Invasive meningococcal disease,,,,,,,,,,,,,,,,M7124 Neiseria meningitidis serogroup W ST-11 Hajj reference strain,collected_by:CDC,99.9,99.9,100,,,Good,2016-01-17T15:41:12.030Z,2016-01-17T15:41:12.030Z
45,1096995.4,Acinetobacter baumannii BJAB07104,negative,Acinetobacter baumannii BJAB07104,1096995,Complete,BJAB07104,,,,MLST.Acinetobacter_baumannii_2.2,,,,2013-07-09T00:00:00Z,23826102,PRJNA74421,SAMN02604244,GCA_000419385.1,,"CP003846.1,CP003907.1,CP003887.1","NC_021726.1,NC_021728.1,NC_021727.1",University of Texas at Dallas,complete,Illumina,,VELVET v. 1.0.18,1,2,3,4042229,38.9501,3854,3861,Blood,Blood,isolated from blood sample of a patient with liver cirrhosis in April 2008 and January 2007 respectively.,~2007,China,China: Beijing,,,,,,"Human, Homo sapiens",,,liver cirrhosis,,,,,,,,,,,,,,,,We have sequenced genomes of three multi-drug resistant strains of Acinetobacter baumannii from China in order to identify the sequences related to drug resistance.,,99.3,98.4,100,0.3,,Good,2014-12-08T22:09:35.014Z,2015-03-16T03:17:09.594Z
46,1096996.4,Acinetobacter baumannii BJAB0715,negative,Acinetobacter baumannii BJAB0715,1096996,Complete,BJAB0715,,,,"MLST.Acinetobacter_baumannii_1.642,MLST.Acinetobacter_baumannii_2.23",,,,2013-07-09T00:00:00Z,27458211,PRJNA74423,SAMN02604245,GCA_000419405.1,,"CP003847.1,CP003848.1","NC_021733.1,NC_021734.1",University of Texas at Dallas,complete,Illumina,,VELVET v. 1.0.18,1,1,2,4053889,38.9193,3870,3908,Cerebrospinal Fluid,CSF,isolated from cerebrospinal fluid (CSF) sample of a patient with cerebrospinal rhinorrhea in March 2007.,2007,China,China: Beijing,,,,,,"Human, Homo sapiens",,,cerebrospinal rhinorrhea,,,,Resistant,AMR Panel,,,,,,,,,,,We have sequenced genomes of three multi-drug resistant strains of Acinetobacter baumannii from China in order to identify the sequences related to drug resistance.,,99.1,98.5,100,,,Good,2014-12-08T22:09:35.036Z,2015-03-16T03:17:09.594Z
47,1096997.4,Acinetobacter baumannii BJAB0868,negative,Acinetobacter baumannii BJAB0868,1096997,Complete,BJAB0868,,,,MLST.Acinetobacter_baumannii_2.2,,,,2013-07-09T00:00:00Z,27458211,PRJNA74425,SAMN02604246,GCA_000419425.1,,"CP003849.1,CP003850.1,CP003888.1,CP003908.1","NC_021729.1,NC_021730.1,NC_021731.1,NC_021732.1",University of Texas at Dallas,complete,Illumina,,VELVET v. 1.0.18,1,3,4,4005822,38.9394,3797,3819,Abdomen,Abdominal fluid,ascites-isolated of a patient during March 2007 and April 2008,~2007,China,China: Beijing,,,,,,"Human, Homo sapiens",,,ascites,,,,Resistant,AMR Panel,,,,,,,,,,,We have sequenced genomes of three multi-drug resistant strains of Acinetobacter baumannii from China in order to identify the sequences related to drug resistance.,,99.3,98.5,100,,,Good,2014-12-08T22:09:35.060Z,2015-03-16T03:17:09.594Z
49,1112856.4,Mycoplasma pneumoniae 309,negative,Mycoplasma pneumoniae 309,1112856,Complete,,,,,MLST.Mycoplasma_pneumoniae.2,,,,2011-12-01T00:00:00Z,22328753,PRJNA85495,,GCA_000283755.1,,AP012303.1,NC_016807.1,,,,,,1,,1,817176,39.98,767,707,None,,,,Japan,,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,Pneumonia,-,,99.5,99.5,100,,,Good,2014-12-08T22:12:24.413Z,2015-03-16T03:17:09.594Z
50,1122984.13,Prevotella intermedia ATCC 25611 = DSM 20706 strain ATCC 25611,negative,,1122984,Complete,ATCC 25611,,,,,,ATCC: 25611,Yes,2017-01-18T00:00:00Z,,PRJNA313956,SAMN04529094,GCF_001953955.1,,"CP019300,CP019301","NZ_CP019300.1,NZ_CP019301.1",The Forsyth Institute,,PacBio,200.0x,Celera Assembler v. June 2016; HGAP v.,2,,2,2674170,43.44,2643,2283,Lung,Empyema,,1984,USA,United States,,,,,,"Human, Homo sapiens",,,Empyema,,,,,,,,,,,C,,,,,Re-sequencing of the Prevotella intermedia type strain ATCC25611 and clinical isolate Prevotella intermedia strain-17 (January 2016) using using a PacBio RS II system (Pacific Biosciences) on a single-molecule real-time (SMRT) cell using PacBio P6-C4 chemistry.,collected_by:LV Holdeman,98.6,97.7,100,2.5,,Good,2017-03-20T05:11:44.157Z,2017-03-20T05:11:44.157Z
51,1123523.3,Staphylococcus aureus subsp. aureus 11819-97,positive,Staphylococcus aureus subsp. aureus 11819-97,1123523,Complete,11819-97,,,,MLST.Staphylococcus_aureus.80,,,,2011-12-21T00:00:00Z,,PRJNA78269,SAMN02603886,GCA_000239235.1,,"CP003193,CP003194","NC_017351.1,NC_017350.1",Statens Serum Institut,,,,,1,,1,2846546,32.88,2646,2633,Skin,skin abscess,"Danish clinical MRSA isolate, collected from a skin abscess",,Denmark,Denmark,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"""A genome from a representative of the community-associated methicillin-resistant Staphylococcus aureus ST80-IV lineage found throughout Europa, the Middle East and Northern Africa. Specifically, this is a Danish clinical MRSA isolate, 11819-97, collected from a skin abscess, representing the major phylogenetic group from this lineage in in Denmark.""",,100,100,100,,,Good,2014-12-08T22:13:23.528Z,2015-03-16T03:17:09.594Z
52,1123862.3,Klebsiella pneumoniae subsp. pneumoniae Kp13,negative,Klebsiella pneumoniae subsp. pneumoniae Kp13,1123862,Complete,Kp13,,,,MLST.Klebsiella_pneumoniae.442,, ,,2013-12-30T00:00:00Z,,PRJNA78291,SAMN02641520,GCA_000512165.1,,"CP003999.1,CP003998.1,CP004000.1,CP003997.1,CP003994.1,CP003996.1,CP003995.1","NZ_CP003999.1,NZ_CP003996.1,NZ_CP003994.1,NZ_CP003995.1,NZ_CP003997.1,NZ_CP003998.1,NZ_CP004000.1",Laborat¿¿¿¿¿¿rio Nacional de Computa¿¿¿¿¿¿¿¿¿¿o Cient¿¿¿¿¿¿fica,complete,,,,1,6,7,5739888,56.8079,5453,5736,Blood,blood,,2009,Brazil,Brazil,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,The emergence and global spread of Klebsiella pneumoniae carbapenemase-producing K. pneumoniae are a significant threat to public health. This study aims to sequence and analyze one such isolate.,,99.6,97.7,100,0.7,,Good,2014-12-08T22:11:50.898Z,2015-03-16T03:17:09.594Z
